smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
NN=COc1c[nH]cc1[N+](=O)[O-],0.7663461418409487,-0.3111725807442389,-0.19014211456775607,-0.41381710327038945,0.7134381099905395
N#Cc1nn(C=O)cc1[N+](=O)[O-],0.7832704007781753,1.4222977093880007,-0.11792948181207834,0.17368238388699903,0.8616494008158448
NCc1cc(=O)onc1[N+](=O)[O-],0.6261909478079122,0.32533604141369304,0.6109636930001925,-0.38368892444180536,0.3048192682830806
C=C(CO)c1n[nH]c([N+](=O)[O-])n1,0.766191762463423,-0.7049811067714032,-1.5647011822543246,-1.2875342892993287,0.587734909636804
C=C(C=O)c1cc([N+](=O)[O-])on1,0.7480292670756963,0.517785456847782,0.292230369352867,-1.2272779316421605,0.4864276423752845
COc1c(N)c([N+](=O)[O-])cn1O,0.6177344790693939,-0.7292154776038443,0.7221474387820197,-0.17279167264171658,0.21398379102779672
CC(=O)Nc1c[nH]c([N+](=O)[O-])n1,0.7656874059157485,-0.503978383984688,-0.4755351323942319,-0.8808038751134415,0.10735718820534083
COn1cc([N+](=O)[O-])nc1C=O,0.6262248147904734,1.1332671984305076,0.06373814012730851,-0.7452270703848147,0.3717490257233329
COC(=O)n1ccc([N+](=O)[O-])n1,0.6257521782344051,1.436196833836018,0.014937811014716385,-0.7753552492133988,-0.06491627348090609
NC(=O)c1[nH]cc([N+](=O)[O-])c1O,0.6254075643069451,-0.2463099999868243,-1.4601361045910068,0.9419509440158955,-0.43321246562252186
N#CC#Cc1nc2onnc2o1,1.054109405297849,-0.3542955053137294,-1.848908766984948,-0.3384966561989275,1.8229263471651376
Cc1onc([N+](=O)[O-])c1C=NO,0.6264320156505843,-0.3229333783541002,0.44979418500992085,-0.4891375503418481,0.561388553505578
Cc1nc([N+](=O)[O-])[nH]c1C(=O)O,0.6254333564297065,0.17066373345370187,-0.2999922481167493,0.12849011564412455,-0.3892288615823871
C=Cc1onc([N+](=O)[O-])c1NN,0.7666727724253707,-1.4213205975538465,0.5288724511124109,-0.7301629809705209,1.0426736910033185
